"SecID","PriceDate","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJUSTED"
"0008.HK","2020-12-30",4.64,4.66,4.64,4.65,3284477,4.319828
"0008.HK","2020-12-31",4.65,4.65,4.65,4.65,0,4.319828
"0008.HK","2021-01-04",4.67,4.67,4.58,4.6,7545340,4.273377
"0008.HK","2021-01-05",4.6,4.65,4.56,4.65,13618482,4.319828
"0008.HK","2021-01-06",4.65,4.65,4.56,4.57,9065548,4.245508
"0008.HK","2021-01-07",4.56,4.58,4.52,4.55,11251305,4.226928
"0008.HK","2021-01-08",4.55,4.56,4.41,4.5,18154316,4.180478
"0008.HK","2021-01-11",4.47,4.52,4.42,4.47,13623737,4.152608
"0008.HK","2021-01-12",4.48,4.56,4.46,4.54,10965506,4.217638
"0008.HK","2021-01-13",4.53,4.56,4.51,4.52,8584977,4.199059
"0008.HK","2021-01-14",4.52,4.52,4.44,4.46,11941419,4.143319
"0008.HK","2021-01-15",4.46,4.49,4.43,4.44,18252831,4.124739
"0008.HK","2021-01-18",4.44,4.48,4.44,4.44,10586479,4.124739
"0008.HK","2021-01-19",4.45,4.46,4.43,4.43,15784630,4.115449
"0008.HK","2021-01-20",4.45,4.48,4.43,4.43,14741838,4.115449
"0008.HK","2021-01-21",4.43,4.45,4.36,4.36,23164212,4.050419
"0008.HK","2021-01-22",4.36,4.4,4.36,4.38,16036083,4.068999
"0008.HK","2021-01-25",4.38,4.42,4.34,4.35,14262909,4.041129
"0008.HK","2021-01-26",4.35,4.35,4.3,4.31,12045483,4.003969
"0008.HK","2021-01-27",4.33,4.4,4.28,4.4,20192891,4.087579
"0008.HK","2021-01-28",4.35,4.43,4.34,4.43,16964561,4.115449
"0008.HK","2021-01-29",4.43,4.43,4.3,4.32,26728877,4.013259
