"SecID","PriceDate","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJUSTED"
"0059.HK","2020-12-30",0.98,1,0.98,0.99,4972018,0.957717
"0059.HK","2020-12-31",0.99,0.99,0.99,0.99,0,0.957717
"0059.HK","2021-01-04",0.99,0.99,0.98,0.99,10604000,0.957717
"0059.HK","2021-01-05",0.98,0.99,0.98,0.98,6456240,0.948044
"0059.HK","2021-01-06",0.98,0.98,0.97,0.98,3572384,0.948044
"0059.HK","2021-01-07",0.98,0.98,0.97,0.98,4400000,0.948044
"0059.HK","2021-01-08",0.98,0.98,0.97,0.98,3918000,0.948044
"0059.HK","2021-01-11",0.98,0.98,0.97,0.98,4248000,0.948044
"0059.HK","2021-01-12",0.98,0.98,0.97,0.98,3922000,0.948044
"0059.HK","2021-01-13",0.98,0.98,0.97,0.98,4074000,0.948044
"0059.HK","2021-01-14",0.98,0.98,0.97,0.97,4370000,0.93837
"0059.HK","2021-01-15",0.98,0.98,0.97,0.98,6890000,0.948044
"0059.HK","2021-01-18",0.98,0.99,0.97,0.98,10950000,0.948044
"0059.HK","2021-01-19",0.99,0.99,0.97,0.98,10180333,0.948044
"0059.HK","2021-01-20",0.98,0.98,0.97,0.98,4792000,0.948044
"0059.HK","2021-01-21",0.98,0.98,0.97,0.98,8988000,0.948044
"0059.HK","2021-01-22",0.98,0.98,0.97,0.98,4270024,0.948044
"0059.HK","2021-01-25",0.98,0.99,0.97,0.98,7450000,0.948044
"0059.HK","2021-01-26",0.98,0.98,0.97,0.98,4872000,0.948044
"0059.HK","2021-01-27",0.98,0.98,0.97,0.98,4311773,0.948044
"0059.HK","2021-01-28",0.98,0.98,0.97,0.98,9676000,0.948044
"0059.HK","2021-01-29",0.98,0.98,0.95,0.95,6840000,0.919022
